Unnamed: 0,name,type,state,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
0,Hokkaido University,National,Hokkai Do,1876-08,33,78,True,False,4.16,1389.0,60.4,2
1,Hokkaido University of Education,National,Hokkai Do,1943-04,3,8,True,False,3.79,544.0,47.1,5
2,Muroran Institute of Technology,National,Hokkai Do,1897-05,3,10,True,False,3.66,126.0,39.0,7
3,Otaru University of Commerce,National,Hokkai Do,1910-03,2,6,True,False,3.8,257.0,50.0,4
4,Obihiro University of Agriculture And Veterinary Medicine,National,Hokkai Do,1941-04,3,5,True,False,4.2,87.0,54.5,3
5,Asahikawa Medical University,National,Hokkai Do,1973-09,2,4,True,False,3.93,76.0,56.8,3
6,Kitami Institute of Technology,National,Hokkai Do,1960-04,2,6,True,False,3.66,106.0,39.5,6
7,Hirosaki University,National,Aomori Ken,1920-11,13,29,True,False,3.84,546.0,48.0,5
8,Iwate University,National,Iwate Ken,1902-03,9,24,True,False,3.89,435.0,46.0,5
9,Tohoku University,National,Miyagi Ken,1886-04,25,78,True,False,4.18,1213.0,60.3,2
10,Miyagi University of Education,National,Miyagi Ken,1965-04,2,4,True,False,3.95,182.0,45.4,5
11,Akita University,National,Akita Ken,1910-03,8,25,True,False,3.8,367.0,47.1,5
12,Yamagata University,National,Yamagata Ken,1910-03,15,41,True,False,3.76,553.0,47.2,5
13,Fukushima University,National,Fukushima Ken,1921-12,7,13,True,False,3.72,367.0,40.6,6
14,Ibaraki University,National,Ibaraki Ken,1920-04,11,39,True,False,3.81,548.0,48.7,5
15,University of Tsukuba,National,Ibaraki Ken,1973-10,20,97,True,False,4.17,1121.0,60.4,2
16,Tsukuba University of Technology,National,Ibaraki Ken,1987-10,3,7,True,False,4.12,22.0,35.7,7
17,Utsunomiya University,National,Tochigi Ken,1922-10,9,18,True,False,3.95,313.0,50.9,4
18,Gunma University,National,Gunma Ken,1915-12,11,20,True,False,3.88,431.0,52.5,4
19,Saitama University,National,Saitama Ken,1921-11,10,43,True,False,3.88,784.0,53.0,4
20,Chiba University,National,Chiba Ken,1921-12,17,38,True,False,4.07,1088.0,58.1,3
21,The University of Tokyo,National,Tokyo To,1877-04,25,132,True,False,4.34,2206.0,70.5,1
22,Tokyo Medical And Dental University,National,Tokyo To,1928-10,4,12,True,False,4.23,158.0,60.6,2
23,Tokyo University of Foreign Studies,National,Tokyo To,1899-04,4,6,True,False,4.19,404.0,63.7,2
24,Tokyo Gakugei University,National,Tokyo To,1943-04,4,10,True,False,4.08,584.0,54.5,3
25,Tokyo University of Agriculture And Technology,National,Tokyo To,1914-04,6,43,True,False,4.0,374.0,56.8,3
26,Tokyo University of The Arts,National,Tokyo To,1887-10,7,38,True,False,4.25,176.0,54.2,3
27,Tokyo Institute of Technology,National,Tokyo To,1881-05,12,12,True,False,4.25,433.0,65.0,1
28,Tokyo University of Marine Science And Technology,National,Tokyo To,1875-11,6,20,True,False,4.16,187.0,53.1,4
29,Ochanomizu University,National,Tokyo To,1874-03,4,20,True,False,4.3,396.0,60.6,2
30,The University of Electro - Communications,National,Tokyo To,1942-04,2,9,True,False,3.92,169.0,57.0,3
31,Hitotsubashi University,National,Tokyo To,1920-04,10,15,True,False,4.26,432.0,67.9,1
32,Yokohama National University,National,Kanagawa Ken,1920-01,13,42,True,False,3.9,683.0,60.8,2
33,Niigata University,National,Niigata Ken,1919-04,17,48,True,False,3.86,887.0,49.7,4
34,Nagaoka University of Technology,National,Niigata Ken,1976-10,2,11,True,False,3.95,65.0,43.0,6
35,Joetsu University of Education,National,Niigata Ken,1978-10,2,3,True,False,4.09,73.0,51.0,4
36,University of Toyama,National,Toyama Ken,1920-12,21,56,True,False,3.81,624.0,50.8,4
37,Kanazawa University,National,Ishikawa Ken,1894-09,12,48,True,False,3.76,734.0,53.3,4
38,University of Fukui,National,Fukui Ken,1923-12,10,25,True,False,3.83,258.0,50.6,4
39,University of Yamanashi,National,Yamanashi Ken,1924-09,7,23,True,False,3.82,252.0,48.4,5
40,Shinshu University,National,Nagano Ken,1910-03,13,29,True,False,3.93,767.0,51.5,4
41,Gifu University,National,Gifu Ken,1923-12,14,38,True,False,3.93,596.0,53.0,4
42,National University Corporation Shizuoka University,National,Shizuoka Ken,1922-08,11,35,True,False,3.94,703.0,51.3,4
43,Hamamatsu University School of Medicine,National,Shizuoka Ken,1974-06,2,5,True,False,3.89,66.0,64.4,1
44,Nagoya University,National,Aichi Ken,1908-04,22,77,True,False,4.22,1281.0,59.6,2
45,Aichi University of Education,National,Aichi Ken,1943-04,3,6,True,False,3.87,541.0,51.0,4
46,Nagoya Institute of Technology,National,Aichi Ken,1905-03,2,11,True,False,4.01,294.0,57.3,3
47,Toyohashi University of Technology,National,Aichi Ken,1976-10,2,10,True,False,3.87,63.0,53.0,4
48,Mie University,National,Mie Ken,1921-12,11,35,True,False,3.94,616.0,52.0,4
49,Shiga University,National,Shiga Ken,1922-10,7,16,True,False,3.83,343.0,51.7,4
50,Shiga University of Medical Science,National,Shiga Ken,1974-10,2,4,True,False,3.88,61.0,60.3,2
51,Kyoto University,National,Kyoto Fu,1886-04,28,94,True,False,4.2,1434.0,65.6,1
52,Kyoto University of Education,National,Kyoto Fu,1943-04,4,6,True,False,3.99,178.0,51.6,4
53,Kyoto Institute of Technology,National,Kyoto Fu,1899-06,2,24,True,False,4.04,215.0,56.4,3
54,Osaka University,National,Osaka Fu,1917-04,26,75,True,False,4.12,1840.0,61.3,2
55,Osaka Kyoiku University,National,Osaka Fu,1943-04,6,17,True,False,3.99,566.0,52.2,4
56,Hyogo University of Teacher Education,National,Hyogo Ken,1978-10,3,7,True,False,3.83,84.0,53.5,4
57,Kobe University,National,Hyogo Ken,1902-03,28,69,True,False,3.99,1344.0,60.8,2
58,Nara University of Education,National,Nara Ken,1943-04,2,3,True,False,3.91,147.0,51.7,4
59,Nara Women’s University,National,Nara Ken,1908-04,5,25,True,False,4.06,347.0,55.2,3
60,Wakayama University,National,Wakayama Ken,1922-10,8,10,True,False,3.86,386.0,50.3,4
61,Tottori University,National,Tottori Ken,1920-11,9,20,True,False,3.83,393.0,50.6,4
62,Shimane University,National,Shimane Ken,1920-11,12,31,True,False,3.84,339.0,48.1,5
63,Okayama University,National,Okayama Ken,1900-03,21,67,True,False,4.02,1084.0,53.4,4
64,Hiroshima University,National,Hiroshima Ken,1902-04,17,39,True,False,4.04,1136.0,54.2,3
65,Yamaguchi University,National,Yamaguchi Ken,1905-04,18,47,True,False,3.83,717.0,49.7,4
66,Tokushima University,National,Tokushima Ken,1922-10,12,23,True,False,3.81,388.0,49.7,4
67,Naruto University of Education,National,Tokushima Ken,1981-10,2,3,True,False,4.16,35.0,50.2,4
68,Kagawa University,National,Kagawa Ken,1923-12,12,22,True,False,3.89,432.0,50.9,4
69,Ehime University,National,Ehime Ken,1919-04,13,30,True,False,3.93,673.0,48.7,5
70,Kochi University,National,Kochi Ken,1922-08,10,31,True,False,3.98,360.0,48.7,5
71,University of Teacher Education Fukuoka,National,Fukuoka Ken,1943-04,3,6,True,False,3.86,297.0,50.4,4
